user_id,position_id,company_raw,company_linkedin_url,company_cleaned,region,country,state,metro_area,startdate,enddate,jobtitle_raw,mapped_role,job_category,seniority,salary,rn,rcid,company_name,ultimate_parent_rcid,ultimate_parent_company_name,jobtitle_norm,soc_candidates,match_type,match_score,soc_code_top1
840332626,5611932128962179710,labor ready,linkedin.com/company/labor-ready,labor ready,Northern America,United States,California,long beach metropolitan area,2012-01-01,,laborer,laborer,Engineer,1,56873.871122992,1,306661,"TrueBlue, Inc.",306661,"TrueBlue, Inc.",laborer,"['37-3011.00', '37-3013.00', '45-2099.00', '45-4029.00', '47-2061.00', '47-2071.00', '47-3013.00', '47-3014.00', '47-3015.00', '47-4051.00', '47-4071.00', '47-5071.00', '47-5099.00', '49-9096.00', '49-9098.00', '51-2091.00', '51-2092.00', '51-4071.00', '51-9198.00', '53-7062.00', '53-7064.00']",exact,100.0,37-3011.00
841151205,-3931130892213672808,Illinois Institute of Technology,linkedin.com/company/illinois-tech,illinois institute of technology,Northern America,United States,Illinois,illinois nonmetropolitan area,2014-08-01,2016-05-01,Teaching Assistant,teaching,Admin,1,50440.059792224,1,838160,Illinois Institute of Technology,838160,Illinois Institute of Technology,teaching,"['25-1191.00', '25-9041.00']",exact,100.0,25-1191.00
841151205,8045923659602219163,J.P. Morgan,linkedin.com/company/jpmorgan,j p morgan,Northern America,United States,New York,new york nonmetropolitan area,2015-06-01,2015-08-01,Software Engineering Intern,software engineering,Engineer,1,73077.956889252,2,220821,"JPMorgan Investment Management, Inc.",543448,JPMorgan Chase & Co.,software engineering,['15-1132.00'],fuzzy,100.0,15-1132.00
841151205,2701527518180934831,Goldman Sachs,linkedin.com/company/goldman-sachs,goldman sachs,Northern America,United States,New York,new york nonmetropolitan area,2016-06-01,2016-08-01,Software Engineering Intern,software engineering,Engineer,1,87353.471630411,3,20923715,"The Goldman Sachs Group, Inc.",20923715,"The Goldman Sachs Group, Inc.",software engineering,['15-1132.00'],fuzzy,100.0,15-1132.00
841151205,-3315325678691742263,Goldman Sachs,linkedin.com/company/goldman-sachs,goldman sachs,Northern America,United States,New York,new york nonmetropolitan area,2017-02-01,2019-12-01,"Analyst, Software Engineer",software engineer,Engineer,2,107378.051464526,4,20923715,"The Goldman Sachs Group, Inc.",20923715,"The Goldman Sachs Group, Inc.",analyst software engineer,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0,13-1023.00
841151205,-5108328541936926815,Goldman Sachs,linkedin.com/company/goldman-sachs,goldman sachs,Northern America,United States,New York,new york nonmetropolitan area,2020-01-01,2022-12-01,"Associate, Software Engineer",software engineering,Engineer,2,141995.306837865,5,20923715,"The Goldman Sachs Group, Inc.",20923715,"The Goldman Sachs Group, Inc.",software engineer,"['15-1132.00', '15-1133.00']",exact,100.0,15-1132.00
841151205,-6242556914544825950,Goldman Sachs,linkedin.com/company/goldman-sachs,goldman sachs,Northern America,United States,New York,new york nonmetropolitan area,2023-01-01,,"Vice President, Software Engineer",software engineer,Engineer,2,218177.72148478,6,20923715,"The Goldman Sachs Group, Inc.",20923715,"The Goldman Sachs Group, Inc.",vice president software engineer,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0,11-9041.00
841403523,-5933975230754183227,DPT Laboratories,linkedin.com/company/dpt-laboratories,dpt laboratories,Northern America,United States,New Jersey,new jersey nonmetropolitan area,2015-10-01,2016-05-01,Change Control Administrator,document controller,Engineer,1,66276.859259894,1,545690,DPT Laboratories Ltd.,949223,"Viatris, Inc.",change control administrator,"['11-3011.00', '11-3061.00', '11-9031.00', '13-1023.00', '43-3021.02']",fuzzy,100.0,11-3011.00
841403523,1527371377900994966,"Renaissance Lakewood, LLC",linkedin.com/company/renaissance-lakewood,renaissance lakewood llc,Northern America,United States,New Jersey,new york city metropolitan area,2016-05-01,2017-06-01,Quality System Specialist,quality auditor,Engineer,1,62788.484683062,2,1277436,Renaissance Lakewood LLC,20947107,"Roundtable Healthcare Management, Inc.",quality system specialist,['51-9061.00'],fuzzy,100.0,51-9061.00
841403523,3895107283803747500,"ARTEGRAFT, INC.",linkedin.com/company/artegraft-inc.,artegraft inc,Northern America,United States,North Carolina,raleigh metropolitan area,2017-09-01,2018-04-01,Quality Compliance Associate,quality auditor,Engineer,2,59701.355808349,3,465282,"Artegraft, Inc.",1052785,"LeMaitre Vascular, Inc.",quality compliance,['51-9061.00'],fuzzy,100.0,51-9061.00
