"user_id","position_id","company_raw","company_linkedin_url","company_cleaned","region","country","state","metro_area","startdate","enddate","jobtitle_raw","mapped_role","job_category","seniority","salary","rn","rcid","company_name","ultimate_parent_rcid","ultimate_parent_company_name"
840332626,5611932128962179710,"labor ready","linkedin.com/company/labor-ready","labor ready","Northern America","United States","California","long beach metropolitan area","2012-01-01",,"laborer","laborer","Engineer",1,56873.871122992,1,306661,"TrueBlue, Inc.",306661,"TrueBlue, Inc."
841151205,-3931130892213672808,"Illinois Institute of Technology","linkedin.com/company/illinois-tech","illinois institute of technology","Northern America","United States","Illinois","illinois nonmetropolitan area","2014-08-01","2016-05-01","Teaching Assistant","teaching","Admin",1,50440.059792224,1,838160,"Illinois Institute of Technology",838160,"Illinois Institute of Technology"
841151205,8045923659602219163,"J.P. Morgan","linkedin.com/company/jpmorgan","j p morgan","Northern America","United States","New York","new york nonmetropolitan area","2015-06-01","2015-08-01","Software Engineering Intern","software engineering","Engineer",1,73077.956889252,2,220821,"JPMorgan Investment Management, Inc.",543448,"JPMorgan Chase & Co."
841151205,2701527518180934831,"Goldman Sachs","linkedin.com/company/goldman-sachs","goldman sachs","Northern America","United States","New York","new york nonmetropolitan area","2016-06-01","2016-08-01","Software Engineering Intern","software engineering","Engineer",1,87353.471630411,3,20923715,"The Goldman Sachs Group, Inc.",20923715,"The Goldman Sachs Group, Inc."
841151205,-3315325678691742263,"Goldman Sachs","linkedin.com/company/goldman-sachs","goldman sachs","Northern America","United States","New York","new york nonmetropolitan area","2017-02-01","2019-12-01","Analyst, Software Engineer","software engineer","Engineer",2,107378.051464526,4,20923715,"The Goldman Sachs Group, Inc.",20923715,"The Goldman Sachs Group, Inc."
841151205,-5108328541936926815,"Goldman Sachs","linkedin.com/company/goldman-sachs","goldman sachs","Northern America","United States","New York","new york nonmetropolitan area","2020-01-01","2022-12-01","Associate, Software Engineer","software engineering","Engineer",2,141995.306837865,5,20923715,"The Goldman Sachs Group, Inc.",20923715,"The Goldman Sachs Group, Inc."
841151205,-6242556914544825950,"Goldman Sachs","linkedin.com/company/goldman-sachs","goldman sachs","Northern America","United States","New York","new york nonmetropolitan area","2023-01-01",,"Vice President, Software Engineer","software engineer","Engineer",2,218177.72148478,6,20923715,"The Goldman Sachs Group, Inc.",20923715,"The Goldman Sachs Group, Inc."
841403523,-5933975230754183227,"DPT Laboratories","linkedin.com/company/dpt-laboratories","dpt laboratories","Northern America","United States","New Jersey","new jersey nonmetropolitan area","2015-10-01","2016-05-01","Change Control Administrator","document controller","Engineer",1,66276.859259894,1,545690,"DPT Laboratories Ltd.",949223,"Viatris, Inc."
841403523,1527371377900994966,"Renaissance Lakewood, LLC","linkedin.com/company/renaissance-lakewood","renaissance lakewood llc","Northern America","United States","New Jersey","new york city metropolitan area","2016-05-01","2017-06-01","Quality System Specialist","quality auditor","Engineer",1,62788.484683062,2,1277436,"Renaissance Lakewood LLC",20947107,"Roundtable Healthcare Management, Inc."
841403523,3895107283803747500,"ARTEGRAFT, INC.","linkedin.com/company/artegraft-inc.","artegraft inc","Northern America","United States","North Carolina","raleigh metropolitan area","2017-09-01","2018-04-01","Quality Compliance Associate","quality auditor","Engineer",2,59701.355808349,3,465282,"Artegraft, Inc.",1052785,"LeMaitre Vascular, Inc."
841403523,-9061251709898032774,"ARTEGRAFT, INC.","linkedin.com/company/artegraft-inc.","artegraft inc","Northern America","United States","North Carolina","raleigh metropolitan area","2018-04-01","2019-09-01","Quality Compliance Specialist","quality auditor","Engineer",2,66587.852350061,4,465282,"Artegraft, Inc.",1052785,"LeMaitre Vascular, Inc."
841403523,1934320596464703875,"ARTEGRAFT, INC.","linkedin.com/company/artegraft-inc.","artegraft inc","Northern America","United States","North Carolina","raleigh metropolitan area","2019-09-01","2020-08-01","Regulatory Compliance Manager","regulatory compliance","Scientist",3,92544.736571637,5,465282,"Artegraft, Inc.",1052785,"LeMaitre Vascular, Inc."
841403523,8027492298332992536,"Catalent Pharma Solutions","linkedin.com/company/catalent-pharma-solutions","catalent pharma solutions","Northern America","United States","North Carolina","raleigh metropolitan area","2020-08-01","2020-12-01","Senior Compliance Specialist","compliance","Admin",3,69624.428758902,6,1244452,"Catalent Pharma Solutions, Inc.",21010518,"Catalent, Inc."
841403523,-7619093065810600201,"Azzur Group","linkedin.com/company/azzur-group","azzur group","Northern America","United States","North Carolina","raleigh metropolitan area","2020-12-01","2022-04-01","Senior Training Specialist","training coordinator","Admin",3,102406.851961717,7,151854,"Azzur Group LLC",151854,"Azzur Group LLC"
841403523,-1576140437181324427,"Azzur Group","linkedin.com/company/azzur-group","azzur group","Northern America","United States","North Carolina","raleigh metropolitan area","2022-04-01","2022-07-01","Operations Manager","operations","Operations",3,91684.279819356,8,151854,"Azzur Group LLC",151854,"Azzur Group LLC"
